parada_id,equipo_id,fecha,hora_inicio_aprox,duracion_horas,tipo_parada,causa,costo_estimado_soles
PAR-006152,PC_EQ_07,21/12/2026,05:00,1.2,Operativa,Falta de mineral en cancha,426.0
PAR-004496,PC-EQ-03,2025-04-15,16:00,1.5, operativa,Falta de mineral en cancha,488.0
PAR-004118,PC-EQ-02 ,2024-10-19,09:00,1.0,Operativa,Condiciones climáticas adversas,246.0
PAR-005673,PC_EQ_06,28/07/2024,09:00,12.9, correctiva,Falla mecánica - desgaste de componente,12537.0
PAR-003800,PCEQ01,2025-06-04,04:00,5.0,PREVENTIVA,,4799.0
PAR-004220,PC-EQ-02,2026-01-03,12:00,6.7,Correctiva ,Atoro de mineral / obstrucciÃ³n,6984.0
PAR-004999,PC-EQ-04,2026-08-19,16:00,0.9,Operativa,Corte de energía externo,331.0
PAR-007118,PCEQ10,2026-06-01,01:00,20.0,CORRECTIVA,Rotura de faja/correa,35031.0
PAR-006426,PC-EQ-08	,2026-02-22,05:00,13.3, correctiva,Atoro de mineral / obstrucción,27815.0
PAR-006181, PC-EQ-07,11/04/2027,18:00,2.6,Correctiva,Rotura de faja/correa,3512.0
PAR-005661, PC-EQ-06,2024-06-06,15:00,0.7,CORRECTIVA,,1167.0
PAR-006453,PC-EQ-08	,2026-06-17,05:00,8.2,PREVENTIVA,Mantenimiento programado (plan anual),8546.0
PAR-007227,PC-EQ-10	,2027-08-04,03:00,17.6, correctiva,Rotura de faja/correa,20536.0
PAR-003910,PC-EQ-01 ,2026-07-28,05:00,5.6,Preventiva ,Mantenimiento programado (plan anual),8914.0
PAR-006712,PC-EQ-09 ,2025-10-20,11:00,5.1,Correctiva ,Atoro de mineral / obstrucción,4126.0
PAR-006869,pc-eq-09,2027-11-07,03:00,5.4, preventiva,Mantenimiento programado (plan anual),8097.0
PAR-006451,PC-EQ-08 ,05/06/2026,06:00,7.0,Correctiva,Atoro de mineral / obstrucción,12405.0
PAR-005378,PC-EQ-05	,17/12/2025,03:00,20.0, correctiva,Falla de lubricación,32447.0
PAR-007040,PC_EQ_10,2025-08-08,09:00,1.9,Operativa ,Corte de energía externo,589.0
PAR-004871,PC-EQ-04,2025-07-15,14:00,6.6,Correctiva ,Atoro de mineral / obstrucción,12741.0
PAR-005979,PC-EQ-07	,13/04/2024,20:00,0.6,OPERATIVA,Condiciones climáticas adversas,194.0
PAR-004644,PC-EQ-03,2027-05-01,00:00,5.3,Correctiva,Atoro de mineral / obstrucción,
PAR-006005, PC-EQ-07,29/09/2024,03:00,15.1,Correctiva,Rotura de faja/correa,16306.0
PAR-006961,PC-EQ-10	,14/10/2024,02:00,5.1,PREVENTIVA,Mantenimiento programado (plan anual),10828.0
PAR-004331,PCEQ02,2027-02-18,19:00,3.0,CORRECTIVA,Falla de lubricación,4243.0
PAR-006988,PC-EQ-10 ,02/02/2025,07:00,5.9, correctiva,Falla de lubricación,11631.0
PAR-006153,pc-eq-07,2026-12-26,17:00,2.9,Correctiva,Falla de lubricación,4565.0
PAR-004028,PC-EQ-01	,2027-10-24,15:00,6.0,Preventiva,Mantenimiento programado (plan anual),12973.0
PAR-004353,PC-EQ-02,02/05/2027,01:00,15.7,Correctiva ,Atoro de mineral / obstrucción,17691.0
PAR-007225,PC-EQ-10,2027-08-02,07:00,14.2,Correctiva,Falla eléctrica - motor/tablero,17398.0
PAR-006936,pc-eq-10,2024-07-22,09:00,5.6,Preventiva ,Mantenimiento programado (plan anual),7167.0
PAR-006054,PCEQ07,06/06/2025,03:00,7.3,Preventiva ,Mantenimiento programado (plan anual),9497.0
PAR-005584,PC_EQ_05,2027-09-03,00:00,20.0,Correctiva,Atoro de mineral / obstrucción,39910.0
PAR-007162,PC-EQ-10,2026-11-12,16:00,1.9,OPERATIVA,Corte de energía externo,447.0
PAR-005972,PC_EQ_07,04/03/2024,14:00,5.1,Preventiva,,9178.0
PAR-006189,pc-eq-07,26/05/2027,11:00,1.8, correctiva,Falla de lubricación,2343.0
PAR-006229,pc-eq-07,15/12/2027,06:00,2.4,OPERATIVA,Falta de mineral en cancha,707.0
PAR-006607,PC-EQ-09 ,24/03/2024,04:00,6.3,Preventiva ,Mantenimiento programado (plan anual),5553.0
PAR-007155,PCEQ10,2026-10-12,00:00,20.0, correctiva,Falla de lubricación,40237.0
PAR-006583,PC-EQ-08 ,31/10/2027,04:00,2.3,Operativa,Corte de energía externo,1156.0
PAR-004188,PC-EQ-02 ,2025-08-11,06:00,7.1,CORRECTIVA,Falla eléctrica - motor/tablero,10037.0
PAR-007165,PC-EQ-10 ,20/11/2026,12:00,8.0,CORRECTIVA,Falla mecánica - desgaste de componente,14929.0
PAR-006252,pc-eq-08,30/03/2024,06:00,5.7,Correctiva,Atoro de mineral / obstrucción,10458.0
PAR-004012,PC-EQ-01 ,13/08/2027,16:00,2.0,Operativa,Espera de insumos (reactivos/bolas de molienda),
PAR-006735,PC-EQ-09 ,2026-01-22,04:00,8.2, preventiva,Mantenimiento programado (plan anual),14308.0
PAR-004898,PC_EQ_04,2025-10-05,12:00,5.8,Correctiva,Falla eléctrica - motor/tablero,7806.0
PAR-006448,PC_EQ_08,19/05/2026,12:00,4.3,Correctiva ,Rotura de faja/correa,6554.0
PAR-005522,PC_EQ_05,15/02/2027,02:00,19.4,Correctiva ,Falla de lubricación,23062.0
PAR-003793,PCEQ01,30/04/2025,00:00,0.6, operativa,Condiciones climáticas adversas,209.0
PAR-004410,PC_EQ_03,2024-01-11,11:00,2.2,CORRECTIVA,Falla de lubricaciÃ³n,2705.0
PAR-005877, PC-EQ-06,26/12/2026,00:00,4.6,PREVENTIVA,Mantenimiento programado (plan anual),6492.0
PAR-003686,PC-EQ-01,2024-01-22,04:00,6.7,Preventiva,Mantenimiento programado (plan anual),9939.0
PAR-004516,PC-EQ-03,2025-07-19,06:00,3.9,CORRECTIVA,,7766.0
PAR-006824,pc-eq-09,26/03/2027,04:00,0.8,Operativa,Falta de mineral en cancha,437.0
PAR-007065,PC-EQ-10	,21/10/2025,04:00,13.5,Correctiva ,Atoro de mineral / obstrucción,
PAR-004998,PC-EQ-04	,2026-08-16,05:00,17.1,Correctiva,Rotura de faja/correa,22757.0
PAR-004965,PC-EQ-04 ,2026-05-16,08:00,1.7, operativa,Corte de energía externo,796.0
PAR-003787, PC-EQ-01,2025-03-30,08:00,11.7,Correctiva,Rotura de faja/correa,9858.0
PAR-003734,PC-EQ-01 ,2024-09-04,16:00,2.0,Correctiva,Falla eléctrica - motor/tablero,3712.0
PAR-004168,pc-eq-02,2025-05-20,03:00,0.9,OPERATIVA,Falta de mineral en cancha,275.0
PAR-006794,PCEQ09,2026-10-06,03:00,6.7,Correctiva ,Falla eléctrica - motor/tablero,12804.0
PAR-006254,PC-EQ-08	,2024-04-04,01:00,20.0,CORRECTIVA,Rotura de faja/correa,30934.0
PAR-005693, PC-EQ-06,2024-11-06,13:00,2.2,Operativa ,Falta de mineral en cancha,561.0
PAR-005521, PC-EQ-05,2027-02-05,07:00,4.7,Preventiva,Mantenimiento programado (plan anual),7235.0
PAR-005425,PCEQ05,15/04/2026,01:00,19.1, correctiva,Falla mecánica - desgaste de componente,39904.0
PAR-004227, PC-EQ-02,17/01/2026,16:00,0.8, correctiva,Falla mecánica - desgaste de componente,1633.0
PAR-004197,PC_EQ_02,05/09/2025,00:00,2.1,OPERATIVA,Corte de energía externo,873.0
PAR-005802,PC_EQ_06,16/02/2026,19:00,2.8,Correctiva ,Falla mecánica - desgaste de componente,3393.0
PAR-006359,pc-eq-08,2025-05-21,13:00,2.8, correctiva,Falla de lubricación,2934.0
PAR-006588,pc-eq-08,10/11/2027,16:00,6.3, preventiva,Mantenimiento programado (plan anual),
PAR-005525,PC-EQ-05 ,2027-02-19,05:00,5.1, correctiva,Falla de lubricación,4890.0
PAR-005547, PC-EQ-05,08/05/2027,07:00,1.5,OPERATIVA,Espera de insumos (reactivos/bolas de molienda),892.0
PAR-003744,PC-EQ-01 ,2024-10-10,18:00,2.0,OPERATIVA,Corte de energía externo,1069.0
PAR-006456, PC-EQ-08,29/06/2026,13:00,5.2,Correctiva,Rotura de faja/correa,10181.0
PAR-006201,PC-EQ-07	,2027-07-25,13:00,6.5,Correctiva,Falla eléctrica - motor/tablero,6843.0
PAR-005709,pc-eq-06,2025-02-04,13:00,6.4,Correctiva,Rotura de faja/correa,9844.0
PAR-006185, PC-EQ-07,25/04/2027,17:00,2.1,Operativa,Falta de mineral en cancha,1180.0
PAR-005429,PC-EQ-05 ,2026-04-25,00:00,0.5,Correctiva,Atoro de mineral / obstrucción,795.0
PAR-006747,PC_EQ_09,19/03/2026,14:00,0.7,Operativa,,171.0
PAR-003850,PCEQ01,28/12/2025,10:00,2.7,OPERATIVA,Condiciones climáticas adversas,985.0
PAR-005759,PC-EQ-06,21/08/2025,12:00,3.5, correctiva,Rotura de faja/correa,4592.0
PAR-006374, PC-EQ-08,27/07/2025,16:00,1.4,Correctiva ,Atoro de mineral / obstrucción,2190.0
PAR-006662,PC-EQ-09,2025-01-27,01:00,6.1,CORRECTIVA,Falla mecÃ¡nica - desgaste de componente,11766.0
PAR-006103,PC-EQ-07 ,04/03/2026,06:00,1.3,Correctiva,Falla de lubricación,1977.0
PAR-005762,PC-EQ-06	,2025-09-06,16:00,5.0,CORRECTIVA,Falla eléctrica - motor/tablero,10600.0
PAR-004624,PC-EQ-03 ,2026-12-25,15:00,1.6, correctiva,Falla mecánica - desgaste de componente,2400.0
PAR-006600,PC-EQ-08,2027-12-28,06:00,1.5,Correctiva,Falla mecánica - desgaste de componente,2797.0
PAR-003912,PCEQ01,2026-08-08,04:00,0.5,Correctiva ,Falla mecánica - desgaste de componente,440.0
PAR-005910, PC-EQ-06,05/05/2027,02:00,6.8,CORRECTIVA,Falla de lubricación,13235.0
PAR-005769,PC_EQ_06,2025-10-11,08:00,0.9,Operativa ,Espera de insumos (reactivos/bolas de molienda),426.0
PAR-007069,pc-eq-10,2025-11-11,11:00,1.3,Correctiva ,Falla eléctrica - motor/tablero,1331.0
PAR-006454,pc-eq-08,19/06/2026,01:00,17.4,Correctiva,Falla mecánica - desgaste de componente,26496.0
PAR-005628,pc-eq-06,2024-01-21,03:00,0.9,CORRECTIVA,Falla eléctrica - motor/tablero,1922.0
PAR-003755,PC-EQ-01 ,25/11/2024,01:00,-7.5,Preventiva,Mantenimiento programado (plan anual),14738.0
PAR-004288,PC-EQ-02 ,01/09/2026,00:00,3.6,Correctiva,Falla eléctrica - motor/tablero,3866.0
PAR-006768,PC-EQ-09 ,2026-06-09,22:00,0.7, operativa,Espera de insumos (reactivos/bolas de molienda),376.0
PAR-005768,PC-EQ-06	,2025-10-05,09:00,7.7,Preventiva,,12806.0
PAR-004514,PC_EQ_03,2025-07-16,18:00,2.6,Operativa ,Corte de energía externo,1043.0
PAR-007163, PC-EQ-10,2026-11-16,06:00,1.6,Operativa,,803.0
PAR-004047, PC-EQ-02,2024-01-18,10:00,0.5,Correctiva,Falla mecánica - desgaste de componente,784.0
PAR-005070,pc-eq-04,2027-04-11,15:00,1.5,Correctiva,Falla mecánica - desgaste de componente,2460.0
PAR-005738,pc-eq-06,16/05/2025,01:00,2.3,Operativa ,Corte de energía externo,916.0
PAR-006114,PCEQ07,2026-05-16,13:00,8.7,Correctiva,Atoro de mineral / obstrucción,12554.0
PAR-004831, PC-EQ-04,2025-02-21,03:00,20.0, correctiva,Falla de lubricación,20008.0
PAR-004215, PC-EQ-02,02/12/2025,10:00,7.7,CORRECTIVA,Atoro de mineral / obstrucción,8493.0
PAR-004823,pc-eq-04,20/01/2025,02:00,0.6,Correctiva,Falla eléctrica - motor/tablero,1035.0
PAR-006806,PC-EQ-09 ,2026-11-28,07:00,0.9,Correctiva,Falla de lubricación,1863.0
PAR-006624, PC-EQ-09,26/06/2024,06:00,8.0, correctiva,Falla eléctrica - motor/tablero,15184.0
PAR-005983,PC-EQ-07	,2024-05-06,10:00,3.2,Correctiva,Rotura de faja/correa,3999.0
PAR-005117,pc-eq-04,2027-08-16,11:00,2.1,Operativa,Espera de insumos (reactivos/bolas de molienda),495.0
PAR-004524,PCEQ03,2025-08-17,17:00,2.7,Operativa ,Corte de energía externo,1369.0
PAR-004522,PC-EQ-03,15/08/2025,02:00,16.1,Correctiva ,Atoro de mineral / obstrucción,30856.0
PAR-006929,PC-EQ-10,2024-06-08,05:00,18.0,Correctiva,Atoro de mineral / obstrucción,14875.0
PAR-007116, PC-EQ-10,2026-05-19,10:00,10.6,Correctiva ,Falla mecánica - desgaste de componente,16609.0
PAR-006198, PC-EQ-07,17/07/2027,11:00,8.9,Preventiva,Mantenimiento programado (plan anual),
PAR-006044, PC-EQ-07,19/04/2025,04:00,5.4, preventiva,Mantenimiento programado (plan anual),6785.0
PAR-006592,PC_EQ_08,2027-11-19,06:00,0.9,Correctiva ,Falla mecánica - desgaste de componente,
PAR-006033,PC-EQ-07	,2025-02-20,08:00,8.4, preventiva,Mantenimiento programado (plan anual),12594.0
PAR-005637,PC-EQ-06	,2024-03-02,19:00,0.5, correctiva,Falla eléctrica - motor/tablero,507.0
PAR-006322,pc-eq-08,2024-12-31,00:00,20.0,Correctiva ,Rotura de faja/correa,26878.0
PAR-005472,pc-eq-05,2026-08-22,00:00,1.8,Correctiva ,Atoro de mineral / obstrucción,3809.0
PAR-005317,PCEQ05,25/06/2025,10:00,1.2,CORRECTIVA,Falla mecánica - desgaste de componente,2501.0
PAR-005145,PC-EQ-04 ,18/11/2027,06:00,14.9, correctiva,Rotura de faja/correa,31698.0
PAR-004369,PC-EQ-02 ,18/07/2027,00:00,4.4,Correctiva,Falla eléctrica - motor/tablero,9459.0
PAR-004246, PC-EQ-02,2026-03-17,14:00,2.1,Operativa ,Corte de energía externo,613.0
PAR-006280, PC-EQ-08,12/07/2024,12:00,1.7,Operativa,Corte de energía externo,928.0
PAR-007152,PC-EQ-10	,01/10/2026,07:00,1.4, operativa,Condiciones climáticas adversas,436.0
PAR-005176, PC-EQ-05,2024-03-28,16:00,4.4,Correctiva ,Falla de lubricación,7947.0
PAR-005442,pc-eq-05,2026-05-27,05:00,7.2, correctiva,Falla eléctrica - motor/tablero,11208.0
PAR-004830, PC-EQ-04,2025-02-21,06:00,5.3,Preventiva,Mantenimiento programado (plan anual),9437.0
PAR-004381,PC_EQ_02,2027-09-10,08:00,8.8,PREVENTIVA,Mantenimiento programado (plan anual),11734.0
PAR-006805, PC-EQ-09,23/11/2026,03:00,9.6,Correctiva,Falla mecánica - desgaste de componente,15018.0
PAR-005207,PCEQ05,2024-06-28,22:00,0.5,Correctiva,Falla de lubricación,639.0
PAR-004702,PC-EQ-04	,2024-02-12,08:00,7.3,PREVENTIVA,Mantenimiento programado (plan anual),15928.0
PAR-004312,PC_EQ_02,07/12/2026,06:00,15.2,Correctiva,Atoro de mineral / obstrucción,24619.0
PAR-005404,PC-EQ-05	,2026-03-02,20:00,1.4,Correctiva,Atoro de mineral / obstrucción,2150.0
PAR-006867,PC-EQ-09	,2027-10-16,01:00,6.8,Preventiva ,Mantenimiento programado (plan anual),10260.0
PAR-006281,PC-EQ-08,2024-07-12,10:00,12.3, correctiva,Atoro de mineral / obstrucciÃ³n,24181.0
PAR-005928,pc-eq-06,2027-08-07,13:00,6.9,PREVENTIVA,Mantenimiento programado (plan anual),11478.0
PAR-004295,pc-eq-02,24/09/2026,06:00,11.5,Correctiva,Atoro de mineral / obstrucción,14830.0
PAR-003745,PC-EQ-01,2024-10-14,00:00,7.0,Correctiva ,Rotura de faja/correa,5809.0
PAR-006673,PC-EQ-09 ,07/04/2025,16:00,4.1,CORRECTIVA,Atoro de mineral / obstrucción,8485.0
PAR-005799,PC-EQ-06	,09/02/2026,04:00,14.1,CORRECTIVA,Falla mecánica - desgaste de componente,13011.0
PAR-004568,PC_EQ_03,2026-02-16,08:00,0.5,Correctiva,Falla eléctrica - motor/tablero,1076.0
PAR-006413,PC-EQ-08	,27/12/2025,02:00,20.0,CORRECTIVA,Atoro de mineral / obstrucción,35957.0
PAR-006098,PCEQ07,24/01/2026,04:00,-7.7, preventiva,Mantenimiento programado (plan anual),12959.0
PAR-004845, PC-EQ-04,2025-04-06,10:00,6.4,Correctiva,Falla de lubricación,10387.0
PAR-004950,PC-EQ-04,2026-03-19,08:00,4.5,Preventiva,Mantenimiento programado (plan anual),4455.0
PAR-005528,pc-eq-05,11/03/2027,02:00,12.7,Correctiva,Atoro de mineral / obstrucción,16493.0
PAR-005126,PC-EQ-04,14/09/2027,01:00,16.5, correctiva,Atoro de mineral / obstrucción,33338.0
PAR-004362, PC-EQ-02,2027-05-30,09:00,8.3,Preventiva,Mantenimiento programado (plan anual),15024.0
PAR-004250,PC-EQ-02	,05/04/2026,18:00,3.3,Correctiva,Atoro de mineral / obstrucción,5387.0
PAR-006574,PC-EQ-08	,2027-09-22,09:00,0.8, correctiva,Rotura de faja/correa,1401.0
PAR-003791,PC_EQ_01,2025-04-22,05:00,7.4, preventiva,Mantenimiento programado (plan anual),11985.0
PAR-004174,PCEQ02,12/06/2025,03:00,7.6, correctiva,Rotura de faja/correa,12838.0
PAR-005195,pc-eq-05,2024-05-27,08:00,-10.8,Correctiva ,,20225.0
PAR-004053,PC-EQ-02,08/02/2024,03:00,20.0,Correctiva,Rotura de faja/correa,18787.0
PAR-005356,pc-eq-05,2025-11-02,20:00,2.4,Operativa,Falta de mineral en cancha,1194.0
PAR-004358,PC-EQ-02,2027-05-16,04:00,2.5,OPERATIVA,Corte de energía externo,734.0
PAR-005885,PCEQ06,2027-01-21,00:00,10.6, correctiva,Atoro de mineral / obstrucción,17223.0
PAR-006507,PC-EQ-08 ,2026-12-15,10:00,2.5,Operativa,Condiciones climáticas adversas,1112.0
PAR-004893,PC-EQ-04,2025-09-18,10:00,12.6,Correctiva ,Rotura de faja/correa,24267.0
PAR-006424,pc-eq-08,19/02/2026,09:00,1.4,Operativa ,Espera de insumos (reactivos/bolas de molienda),651.0
PAR-004212,pc-eq-02,2025-11-22,04:00,4.1,CORRECTIVA,Rotura de faja/correa,7441.0
PAR-005664,PC-EQ-06	,30/06/2024,18:00,5.0,Correctiva ,,9599.0
PAR-004798,PC_EQ_04,20/11/2024,09:00,7.0,Preventiva,Mantenimiento programado (plan anual),
PAR-003942,PC_EQ_01,01/12/2026,01:00,6.9,CORRECTIVA,Atoro de mineral / obstrucción,8664.0
PAR-005421,PCEQ05,11/04/2026,01:00,20.0,CORRECTIVA,Rotura de faja/correa,38268.0
PAR-006270, PC-EQ-08,11/06/2024,17:00,3.5,Correctiva,Atoro de mineral / obstrucción,4261.0
PAR-005005, PC-EQ-04,08/09/2026,07:00,1.8,Operativa,Falta de mineral en cancha,987.0
PAR-005588, PC-EQ-05,18/09/2027,02:00,17.9,Correctiva,Rotura de faja/correa,21101.0
PAR-007158,PC-EQ-10,01/11/2026,00:00,20.0, correctiva,Falla mecánica - desgaste de componente,34537.0
PAR-003761,pc-eq-01,28/12/2024,00:00,19.0,Correctiva,Falla mecánica - desgaste de componente,41184.0
PAR-005916,PCEQ06,2027-06-05,18:00,2.3,Correctiva,Falla mecánica - desgaste de componente,3037.0
PAR-007236,PC-EQ-10,2027-10-02,11:00,8.1,Preventiva,Mantenimiento programado (plan anual),7598.0
PAR-006334, PC-EQ-08,2025-03-10,18:00,3.3,CORRECTIVA,Falla eléctrica - motor/tablero,6372.0
PAR-007041,PCEQ10,08/08/2025,05:00,4.4,Correctiva,Falla eléctrica - motor/tablero,8307.0
PAR-006917, PC-EQ-10,2024-04-27,00:00,2.2,Operativa,Corte de energía externo,637.0
PAR-004631,PC-EQ-03,2027-01-19,07:00,14.6,Correctiva,Falla mecánica - desgaste de componente,27634.0
PAR-004549, PC-EQ-03,2025-12-09,02:00,14.0,Correctiva,Atoro de mineral / obstrucción,15184.0
PAR-006030,PCEQ07,11/02/2025,16:00,2.3,OPERATIVA,Condiciones climáticas adversas,923.0
PAR-005920,PC_EQ_06,05/07/2027,20:00,1.8,Operativa,Condiciones climáticas adversas,940.0
PAR-004275,PC_EQ_02,10/07/2026,03:00,20.0,Correctiva ,Falla de lubricación,23301.0
PAR-006709,PC_EQ_09,2025-10-14,09:00,9.9,CORRECTIVA,Atoro de mineral / obstrucción,10074.0
PAR-006584,PC_EQ_08,2027-11-02,01:00,18.1,Correctiva,Falla mecánica - desgaste de componente,22660.0
PAR-005934, PC-EQ-06,2027-08-28,12:00,4.6,Preventiva,Mantenimiento programado (plan anual),6326.0
PAR-004077,pc-eq-02,2024-05-07,12:00,2.2,Operativa,Falta de mineral en cancha,1116.0
PAR-003951,PC-EQ-01 ,11/01/2027,08:00,6.5, correctiva,Falla de lubricación,11955.0
PAR-004983,PC-EQ-04	,2026-06-30,07:00,7.1,Correctiva,Rotura de faja/correa,12376.0
PAR-004565, PC-EQ-03,2026-02-11,05:00,5.3,Preventiva,Mantenimiento programado (plan anual),7850.0
PAR-005329,PC-EQ-05 ,01/08/2025,08:00,11.7, correctiva,Falla de lubricación,19767.0
PAR-005579,PC-EQ-05 ,20/08/2027,01:00,20.0,Correctiva,Falla mecánica - desgaste de componente,26868.0
PAR-005483,PC-EQ-05,13/10/2026,00:00,20.0,Correctiva ,Falla mecánica - desgaste de componente,19630.0
PAR-006498,PC-EQ-08	,15/11/2026,21:00,2.0,Operativa ,Espera de insumos (reactivos/bolas de molienda),932.0
PAR-005593,PC-EQ-05	,29/09/2027,08:00,3.9,Correctiva ,Falla mecánica - desgaste de componente,4779.0
PAR-004678,pc-eq-03,13/11/2027,08:00,2.8,Correctiva ,Atoro de mineral / obstrucciÃ³n,5822.0
PAR-004115,PC-EQ-02,02/10/2024,02:00,3.3, correctiva,Rotura de faja/correa,5744.0
PAR-006415, PC-EQ-08,2026-01-01,05:00,0.8, operativa,Corte de energía externo,187.0
PAR-005153,PC-EQ-04	,2027-12-06,09:00,10.9, correctiva,Rotura de faja/correa,18619.0
PAR-005449,pc-eq-05,19/06/2026,08:00,3.1,CORRECTIVA,Falla eléctrica - motor/tablero,5893.0
PAR-004667,PC-EQ-03 ,2027-09-03,01:00,4.0, preventiva,Mantenimiento programado (plan anual),3878.0
PAR-005508,PC-EQ-05	,2026-12-30,17:00,5.3,PREVENTIVA,Mantenimiento programado (plan anual),7946.0
PAR-005783,PC-EQ-06	,2025-12-03,01:00,10.0,Correctiva,Atoro de mineral / obstrucción,13102.0
PAR-004523,PC-EQ-03	,2025-08-17,06:00,7.1,Preventiva,Mantenimiento programado (plan anual),11571.0
