fecha,precio_cu_usd_lb,precio_zn_usd_lb,precio_ag_usd_oz,tipo_cambio_pen_usd
2024-05-02,4.005,1.039,26.072,3.747
2024-05-03,3.979,1.048,26.093,3.7514
2024-05-04,3.983,1.035,26.381,3.7527
2024-05-05,3.995,1.023,26.557,3.7564
2024-05-06,3.975,1.029,26.798,3.7554
2024-05-07,4.009,1.026,26.943,3.7545
2024-05-08,3.996,1.017,26.799,3.7556
2024-05-09,4.012,1.009,27.01,3.7524
2024-05-10,4.072,1.012,27.276,3.7548
2024-05-11,4.071,1.0,27.266,3.7578
2024-05-12,4.075,1.0,27.425,3.7573
2024-05-13,4.091,1.008,27.387,3.7605
2024-05-14,4.067,1.01,27.182,3.7634
2024-05-15,4.09,1.014,27.311,3.7654
2024-05-16,4.098,1.02,27.329,3.7652
2024-05-17,4.094,1.012,27.238,3.7629
2024-05-18,4.095,1.013,27.063,3.7636
2024-05-19,4.087,1.008,27.177,3.7661
2024-05-20,4.08,1.02,27.405,3.7662
2024-05-21,4.091,1.01,27.287,3.7663
2024-05-22,4.086,1.003,27.358,3.7632
2024-05-23,4.093,1.0,27.484,3.7569
2024-05-24,4.103,1.009,27.715,3.7566
2024-05-25,4.087,1.0,27.6,3.7546
2024-05-26,4.106,1.0,27.342,3.7537
2024-05-27,4.1,1.0,27.31,3.7536
2024-05-28,4.125,1.0,27.47,3.755
2024-05-29,4.116,1.0,27.583,3.7557
2024-05-30,4.11,1.013,27.601,3.7572
2024-05-31,4.111,1.001,27.359,3.7614
2024-06-01,4.119,1.006,27.202,3.7576
2024-06-02,4.125,1.014,27.224,3.7601
2024-06-03,4.138,1.01,27.129,3.7631
2024-06-04,4.144,1.011,27.109,3.7683
2024-06-05,4.142,1.012,27.063,3.77
2024-06-06,4.13,1.004,26.857,3.7649
2024-06-07,4.134,1.002,26.801,3.7611
2024-06-08,4.113,1.003,26.554,3.7554
2024-06-09,4.128,1.009,26.65,3.7557
2024-06-10,4.106,1.014,26.843,3.7597
2024-06-11,4.094,1.024,26.871,3.759
2024-06-12,4.115,1.03,26.693,3.761
2024-06-13,4.094,1.032,26.802,3.7623
2024-06-14,4.087,1.058,26.35,3.7594
2024-06-15,4.068,1.061,26.144,3.7521
2024-06-16,4.073,1.052,25.988,3.7475
2024-06-17,4.064,1.059,25.958,3.7554
2024-06-18,4.077,1.06,26.04,3.7597
2024-06-19,4.084,1.065,26.1,3.7606
2024-06-20,4.086,1.055,25.858,3.7617
2024-06-21,4.082,1.062,25.792,3.7574
2024-06-22,4.079,1.051,25.595,3.7584
2024-06-23,4.084,1.056,25.59,3.7622
2024-06-24,4.07,1.05,25.649,3.7592
2024-06-25,4.079,1.055,25.546,3.7619
2024-06-26,4.086,1.065,25.687,3.7667
2024-06-27,4.083,1.065,25.594,3.7685
2024-06-28,4.08,1.051,25.68,3.7687
2024-06-29,4.086,1.051,25.978,3.7716
2024-06-30,4.086,1.055,25.843,3.7714
2024-07-01,4.074,1.061,25.891,3.7709
2024-07-02,4.099,1.064,25.89,3.7739
2024-07-03,4.116,1.067,25.631,3.7754
2024-07-04,4.11,1.071,25.566,3.7725
2024-07-05,4.139,1.076,25.48,3.7718
2024-07-06,4.146,1.073,25.581,3.7738
2024-07-07,4.154,1.081,25.691,3.7731
2024-07-08,4.177,1.079,25.663,3.773
2024-07-09,4.17,1.075,25.853,3.771
2024-07-10,4.179,1.068,25.925,3.769
2024-07-11,4.191,1.064,26.12,3.7743
2024-07-12,4.19,1.067,25.86,3.7753
2024-07-13,4.2,1.056,25.885,3.7797
2024-07-14,4.174,1.062,25.895,3.7857
2024-07-15,4.171,1.057,26.051,3.7809
2024-07-16,4.155,1.056,26.229,3.7736
2024-07-17,4.172,1.047,26.174,3.7739
2024-07-18,4.183,1.052,26.064,3.7711
2024-07-19,4.136,1.066,26.227,3.7716
2024-07-20,4.131,1.066,26.046,3.7739
2024-07-21,4.164,1.06,25.813,3.772
2024-07-22,4.123,1.062,25.797,3.7694
2024-07-23,4.145,1.064,25.823,3.7701
2024-07-24,4.15,1.064,25.784,3.7725
2024-07-25,4.142,1.074,25.778,3.7819
2024-07-26,4.153,1.062,25.719,3.7847
2024-07-27,4.143,1.048,25.712,3.782
2024-07-28,4.138,1.055,25.659,3.7871
2024-07-29,4.093,1.041,25.718,3.7868
2024-07-30,4.1,1.041,25.56,3.7862
2024-07-31,4.089,1.04,25.614,3.7866
2024-08-01,4.084,1.062,25.64,3.7845
2024-08-02,4.076,1.051,25.829,3.7842
2024-08-03,4.113,1.061,25.836,3.7868
2024-08-04,4.099,1.062,25.851,3.7843
2024-08-05,4.105,1.047,25.915,3.7853
2024-08-06,4.077,1.043,25.989,3.7888
2024-08-07,4.089,1.04,25.868,3.7886
2024-08-08,4.095,1.05,25.959,3.7854
2024-08-09,4.097,1.044,25.802,3.7841
2024-08-10,4.069,1.033,25.982,3.7842
2024-08-11,4.046,1.033,25.853,3.783
2024-08-12,4.022,1.032,25.843,3.784
2024-08-13,4.036,1.026,25.927,3.7901
2024-08-14,4.041,1.021,26.029,3.792
2024-08-15,4.029,1.028,25.989,3.7927
2024-08-16,4.022,1.025,26.06,3.7918
2024-08-17,4.041,1.028,26.139,3.7917
2024-08-18,4.058,1.033,25.942,3.7959
2024-08-19,4.058,1.037,25.912,3.7937
2024-08-20,4.048,1.031,25.944,3.7893
2024-08-21,4.048,1.029,25.927,3.7897
2024-08-22,4.022,1.025,25.983,3.7879
2024-08-23,4.015,1.033,26.022,3.7896
2024-08-24,4.018,1.03,26.325,3.787
2024-08-25,4.008,1.031,26.274,3.7861
2024-08-26,4.037,1.037,26.209,3.7854
2024-08-27,4.032,1.062,26.332,3.7878
2024-08-28,4.012,1.057,26.217,3.7894
2024-08-29,4.021,1.066,26.28,3.7844
2024-08-30,4.009,1.045,26.117,3.7907
2024-08-31,4.026,1.041,25.92,3.7936
2024-09-01,4.019,1.058,25.891,3.7907
2024-09-02,4.02,1.057,25.855,3.784
2024-09-03,4.032,1.058,25.923,3.7837
2024-09-04,4.061,1.062,26.136,3.7821
2024-09-05,4.056,1.056,26.098,3.7788
2024-09-06,4.051,1.071,26.205,3.7843
2024-09-07,4.061,1.081,26.216,3.7818
2024-09-08,4.093,1.093,26.05,3.7858
2024-09-09,4.09,1.107,26.154,3.7825
2024-09-10,4.082,1.109,26.188,3.7812
2024-09-11,4.069,1.101,25.948,3.7863
2024-09-12,4.059,1.105,25.891,3.7837
2024-09-13,4.025,1.099,25.863,3.7821
2024-09-14,4.059,1.097,25.989,3.7793
2024-09-15,4.066,1.09,26.1,3.7799
2024-09-16,4.077,1.09,26.183,3.7792
2024-09-17,4.125,1.083,26.208,3.7818
2024-09-18,4.134,1.086,26.226,3.7758
2024-09-19,4.154,1.079,26.179,3.7746
2024-09-20,4.144,1.073,26.224,3.7763
2024-09-21,4.148,1.077,26.249,3.7772
2024-09-22,4.132,1.071,26.276,3.7806
2024-09-23,4.159,1.066,26.136,3.78
2024-09-24,4.121,1.076,26.275,3.7751
2024-09-25,4.114,1.073,26.271,3.7759
2024-09-26,4.108,1.062,26.093,3.7696
2024-09-27,4.109,1.062,26.199,3.7659
2024-09-28,4.107,1.055,26.264,3.7691
2024-09-29,4.111,1.058,26.248,3.7676
2024-09-30,4.136,1.057,25.838,3.7719
2024-10-01,4.14,1.054,25.908,3.7723
2024-10-02,4.187,1.053,26.104,3.7755
2024-10-03,4.211,1.058,25.894,3.7768
2024-10-04,4.184,1.057,26.102,3.7811
2024-10-05,4.176,1.07,26.166,3.7814
2024-10-06,4.17,1.073,26.36,3.7813
2024-10-07,4.146,1.071,26.146,3.7867
2024-10-08,4.149,1.063,26.147,3.7853
2024-10-09,4.153,1.064,25.99,3.7849
2024-10-10,4.087,1.075,26.233,3.7867
2024-10-11,4.052,1.068,26.295,3.7893
2024-10-12,4.069,1.07,26.446,3.7923
2024-10-13,4.052,1.067,26.443,3.7962
2024-10-14,4.037,1.056,26.52,3.7967
2024-10-15,4.038,1.056,26.503,3.8017
2024-10-16,4.058,1.065,26.62,3.8001
2024-10-17,4.08,1.048,26.669,3.8025
2024-10-18,4.056,1.042,26.65,3.8045
2024-10-19,4.074,1.029,26.612,3.805
2024-10-20,4.128,1.029,26.602,3.8061
2024-10-21,4.113,1.032,26.715,3.8103
2024-10-22,4.105,1.031,26.609,3.8084
2024-10-23,4.079,1.043,26.557,3.8072
2024-10-24,4.067,1.044,26.701,3.8089
2024-10-25,4.056,1.057,26.751,3.8073
2024-10-26,4.06,1.051,26.876,3.8122
2024-10-27,4.062,1.069,26.764,3.8082
2024-10-28,4.089,1.06,27.007,3.8063
2024-10-29,4.105,1.077,27.276,3.8063
2024-10-30,4.086,1.086,26.893,3.8089
2024-10-31,4.1,1.073,27.01,3.8044
2024-11-01,4.115,1.083,26.93,3.8083
2024-11-02,4.091,1.088,26.911,3.8082
2024-11-03,4.111,1.087,26.838,3.8093
2024-11-04,4.098,1.09,26.698,3.8079
2024-11-05,4.114,1.077,26.878,3.8115
2024-11-06,4.128,1.072,26.952,3.813
2024-11-07,4.097,1.072,26.761,3.809
2024-11-08,4.088,1.069,26.561,3.806
2024-11-09,4.101,1.067,26.491,3.8063
2024-11-10,4.101,1.079,26.315,3.8085
2024-11-11,4.084,1.074,26.308,3.8045
2024-11-12,4.099,1.078,26.367,3.8017
2024-11-13,4.086,1.081,26.376,3.803
2024-11-14,4.109,1.077,25.994,3.8071
2024-11-15,4.127,1.078,26.059,3.806
2024-11-16,4.16,1.084,26.019,3.8013
2024-11-17,4.142,1.07,26.125,3.801
2024-11-18,4.154,1.079,25.944,3.7968
2024-11-19,4.159,1.077,25.942,3.7941
2024-11-20,4.145,1.101,25.856,3.7948
2024-11-21,4.129,1.109,26.147,3.7976
2024-11-22,4.149,1.11,26.182,3.7927
2024-11-23,4.15,1.096,26.219,3.7952
2024-11-24,4.14,1.092,26.533,3.7976
2024-11-25,4.15,1.093,26.686,3.799
2024-11-26,4.154,1.097,26.513,3.7988
2024-11-27,4.15,1.105,26.631,3.8023
2024-11-28,4.122,1.092,26.603,3.803
2024-11-29,4.149,1.099,26.353,3.799
2024-11-30,4.153,1.098,26.195,3.7972
2024-12-01,4.17,1.108,26.147,3.7994
2024-12-02,4.175,1.098,26.085,3.7993
2024-12-03,4.219,1.099,26.253,3.7971
2024-12-04,4.188,1.093,26.056,3.7967
2024-12-05,4.172,1.091,26.12,3.8025
2024-12-06,4.204,1.095,25.893,3.8027
2024-12-07,4.231,1.084,25.811,3.801
2024-12-08,4.195,1.084,25.748,3.8011
2024-12-09,4.202,1.087,25.612,3.8006
2024-12-10,4.182,1.098,25.826,3.8035
2024-12-11,4.153,1.089,25.825,3.8051
2024-12-12,4.162,1.076,25.66,3.8017
2024-12-13,4.165,1.075,25.42,3.8016
2024-12-14,4.181,1.08,25.25,3.8049
2024-12-15,4.178,1.079,25.365,3.806
2024-12-16,4.163,1.091,25.619,3.8076
2024-12-17,4.115,1.1,25.471,3.8066
2024-12-18,4.145,1.093,25.394,3.8065
2024-12-19,4.147,1.101,25.306,3.8071
2024-12-20,4.173,1.113,25.228,3.808
2024-12-21,4.14,1.11,25.203,3.8065
2024-12-22,4.153,1.119,25.257,3.8072
2024-12-23,4.172,1.127,25.185,3.8105
2024-12-24,4.202,1.112,25.131,3.8088
2024-12-25,4.182,1.111,24.889,3.8109
2024-12-26,4.169,1.122,25.149,3.8098
2024-12-27,4.193,1.127,24.875,3.8118
2024-12-28,4.19,1.131,25.189,3.8144
2024-12-29,4.184,1.128,25.307,3.8175
2024-12-30,4.155,1.125,25.28,3.8188
2024-12-31,4.114,1.137,25.372,3.815
2025-01-01,4.074,1.137,25.286,3.8161
2025-01-02,4.079,1.142,25.387,3.8144
2025-01-03,4.061,1.157,25.359,3.8124
2025-01-04,4.052,1.161,25.59,3.8149
2025-01-05,4.036,1.154,25.683,3.8132
2025-01-06,4.026,1.171,25.601,3.8112
2025-01-07,4.02,1.18,25.383,3.812
2025-01-08,4.021,1.177,25.627,3.8087
2025-01-09,4.019,1.181,25.79,3.8127
2025-01-10,4.019,1.188,25.865,3.8181
2025-01-11,4.06,1.188,26.091,3.8188
2025-01-12,4.042,1.19,26.086,3.8176
2025-01-13,4.07,1.199,26.189,3.8141
2025-01-14,4.041,1.199,26.012,3.8139
2025-01-15,4.036,1.193,26.108,3.8108
2025-01-16,4.019,1.192,26.146,3.8108
2025-01-17,4.046,1.195,26.309,3.8125
2025-01-18,4.084,1.189,26.493,3.8147
2025-01-19,4.097,1.184,26.529,3.8142
2025-01-20,4.102,1.178,26.755,3.814
2025-01-21,4.146,1.177,27.194,3.8099
2025-01-22,4.146,1.157,27.006,3.8105
2025-01-23,4.162,1.162,26.859,3.8136
2025-01-24,4.163,1.163,26.849,3.8105
2025-01-25,4.184,1.17,26.792,3.8134
2025-01-26,4.175,1.165,26.621,3.8157
2025-01-27,4.189,1.161,26.908,3.8125
2025-01-28,4.234,1.169,27.049,3.8124
2025-01-29,4.242,1.171,27.103,3.8121
2025-01-30,4.23,1.167,27.205,3.817
2025-01-31,4.23,1.16,26.913,3.817
2025-02-01,4.25,1.145,27.232,3.8131
2025-02-02,4.256,1.139,27.159,3.8093
2025-02-03,4.253,1.133,27.285,3.8093
2025-02-04,4.239,1.121,27.264,3.8075
2025-02-05,4.224,1.122,27.067,3.8088
2025-02-06,4.221,1.114,26.855,3.8031
2025-02-07,4.228,1.125,27.226,3.8024
2025-02-08,4.251,1.126,27.153,3.7977
2025-02-09,4.254,1.144,26.931,3.7973
2025-02-10,4.243,1.137,27.079,3.7946
2025-02-11,4.256,1.131,27.217,3.7947
2025-02-12,4.247,1.123,26.916,3.7946
2025-02-13,4.29,1.111,27.014,3.7954
2025-02-14,4.286,1.119,27.153,3.7971
2025-02-15,4.282,1.125,26.986,3.7982
2025-02-16,4.3,1.121,27.039,3.7978
2025-02-17,4.266,1.123,27.13,3.7949
2025-02-18,4.24,1.126,27.106,3.7947
2025-02-19,4.226,1.132,27.264,3.7915
2025-02-20,4.184,1.136,27.02,3.7918
2025-02-21,4.14,1.143,26.762,3.7901
2025-02-22,4.166,1.13,26.745,3.7871
2025-02-23,4.134,1.145,26.468,3.7872
2025-02-24,4.165,1.145,26.366,3.7843
2025-02-25,4.147,1.135,26.205,3.7827
2025-02-26,4.164,1.144,26.3,3.7847
2025-02-27,4.178,1.156,26.499,3.7838
2025-02-28,4.157,1.168,26.513,3.7849
2025-03-01,4.179,1.172,26.62,3.7859
2025-03-02,4.193,1.189,26.681,3.7841
2025-03-03,4.162,1.193,26.849,3.7866
2025-03-04,4.143,1.177,27.008,3.7891
2025-03-05,4.132,1.185,26.88,3.7869
2025-03-06,4.149,1.195,26.829,3.7845
2025-03-07,4.182,1.2,26.905,3.7863
2025-03-08,4.169,1.209,26.913,3.7875
2025-03-09,4.173,1.2,26.941,3.7834
2025-03-10,4.165,1.194,26.834,3.7884
2025-03-11,4.177,1.194,26.84,3.7892
2025-03-12,4.199,1.204,26.733,3.7898
2025-03-13,4.184,1.201,26.941,3.7857
2025-03-14,4.204,1.2,27.065,3.7894
2025-03-15,4.223,1.196,26.996,3.7911
2025-03-16,4.21,1.202,27.113,3.7894
2025-03-17,4.194,1.206,27.451,3.789
2025-03-18,4.213,1.213,27.526,3.7901
2025-03-19,4.198,1.213,27.177,3.7857
2025-03-20,4.192,1.199,27.357,3.7871
2025-03-21,4.207,1.187,27.532,3.7848
2025-03-22,4.229,1.193,27.422,3.7861
2025-03-23,4.253,1.189,27.175,3.7841
2025-03-24,4.245,1.183,27.016,3.7866
2025-03-25,4.254,1.192,26.869,3.7861
2025-03-26,4.26,1.192,26.965,3.7899
2025-03-27,4.274,1.202,27.163,3.7888
2025-03-28,4.279,1.198,27.125,3.7872
2025-03-29,4.274,1.209,27.195,3.7882
2025-03-30,4.3,1.203,27.085,3.7872
2025-03-31,4.324,1.19,27.094,3.7822
2025-04-01,4.356,1.198,27.248,3.7785
2025-04-02,4.376,1.203,27.16,3.7828
2025-04-03,4.387,1.19,27.163,3.7843
2025-04-04,4.365,1.18,27.256,3.7813
2025-04-05,4.401,1.186,27.061,3.7784
2025-04-06,4.42,1.178,27.053,3.7779
2025-04-07,4.406,1.181,26.766,3.7756
2025-04-08,4.403,1.176,26.74,3.7746
2025-04-09,4.431,1.173,26.643,3.7737
2025-04-10,4.446,1.156,26.526,3.7728
2025-04-11,4.426,1.153,26.568,3.7765
2025-04-12,4.405,1.154,26.539,3.7744
2025-04-13,4.41,1.151,26.856,3.7737
2025-04-14,4.442,1.157,27.071,3.773
2025-04-15,4.44,1.162,27.127,3.7703
2025-04-16,4.463,1.167,27.281,3.7722
2025-04-17,4.488,1.175,27.333,3.7764
2025-04-18,4.495,1.177,27.338,3.7791
2025-04-19,4.477,1.183,27.383,3.7796
2025-04-20,4.479,1.184,27.427,3.7779
2025-04-21,4.473,1.192,27.477,3.778
2025-04-22,4.476,1.175,27.505,3.7802
2025-04-23,4.465,1.185,27.26,3.7802
2025-04-24,4.443,1.191,27.021,3.7824
2025-04-25,4.454,1.191,26.962,3.7865
2025-04-26,4.437,1.189,26.905,3.7825
2025-04-27,4.457,1.18,26.845,3.782
2025-04-28,4.46,1.175,26.834,3.7799
2025-04-29,4.483,1.179,26.994,3.7853
2025-04-30,4.475,1.179,27.208,3.788
2025-05-01,4.486,1.186,27.236,3.789
2025-05-02,4.494,1.186,27.127,3.789
2025-05-03,4.509,1.175,27.453,3.7919
2025-05-04,4.524,1.168,27.419,3.7928
2025-05-05,4.558,1.15,27.554,3.7936
2025-05-06,4.551,1.157,27.463,3.7945
2025-05-07,4.579,1.158,27.307,3.7943
2025-05-08,4.58,1.151,27.571,3.7989
2025-05-09,4.567,1.156,27.568,3.7954
2025-05-10,4.557,1.146,27.621,3.7954
2025-05-11,4.55,1.159,27.665,3.796
2025-05-12,4.55,1.15,27.716,3.7973
2025-05-13,4.563,1.138,27.701,3.8006
2025-05-14,4.558,1.144,27.718,3.7972
2025-05-15,4.532,1.141,27.701,3.7971
2025-05-16,4.521,1.148,27.878,3.7955
2025-05-17,4.532,1.15,27.902,3.7971
2025-05-18,4.538,1.165,27.774,3.7953
2025-05-19,4.517,1.164,27.893,3.8002
2025-05-20,4.539,1.154,27.944,3.7981
2025-05-21,4.517,1.151,28.03,3.7996
2025-05-22,4.515,1.142,28.037,3.8021
2025-05-23,4.48,1.133,27.953,3.8063
2025-05-24,4.503,1.125,27.975,3.8057
2025-05-25,4.509,1.134,27.851,3.8118
2025-05-26,4.498,1.145,27.555,3.8098
2025-05-27,4.504,1.132,27.464,3.8087
2025-05-28,4.492,1.133,27.439,3.8073
2025-05-29,4.535,1.136,27.548,3.8092
2025-05-30,4.537,1.122,27.746,3.8078
2025-05-31,4.511,1.127,27.857,3.8105
2025-06-01,4.485,1.132,27.695,3.8048
2025-06-02,4.456,1.127,27.825,3.8051
2025-06-03,4.475,1.127,27.809,3.7989
2025-06-04,4.478,1.123,28.177,3.8
2025-06-05,4.458,1.124,28.24,3.7982
2025-06-06,4.465,1.128,28.308,3.7964
2025-06-07,4.488,1.127,28.157,3.7955
2025-06-08,4.471,1.133,27.857,3.7991
2025-06-09,4.458,1.148,27.821,3.7995
2025-06-10,4.469,1.139,27.647,3.8018
2025-06-11,4.485,1.135,27.471,3.7966
2025-06-12,4.485,1.12,27.488,3.7988
2025-06-13,4.491,1.115,27.41,3.7959
2025-06-14,4.505,1.114,27.6,3.7934
2025-06-15,4.498,1.116,27.805,3.7918
2025-06-16,4.498,1.116,27.642,3.7893
2025-06-17,4.484,1.119,27.721,3.7872
2025-06-18,4.489,1.111,27.992,3.785
2025-06-19,4.519,1.109,27.95,3.7865
2025-06-20,4.553,1.115,28.013,3.7891
2025-06-21,4.535,1.11,28.1,3.7841
2025-06-22,4.529,1.094,27.994,3.7779
2025-06-23,4.516,1.082,28.118,3.7793
2025-06-24,4.527,1.073,28.148,3.7802
2025-06-25,4.55,1.077,28.18,3.7824
2025-06-26,4.559,1.094,28.277,3.7844
2025-06-27,4.529,1.105,28.346,3.7814
2025-06-28,4.51,1.114,28.329,3.7789
2025-06-29,4.528,1.117,28.26,3.7735
2025-06-30,4.521,1.125,28.044,3.7751
2025-07-01,4.492,1.134,27.895,3.7748
2025-07-02,4.495,1.13,27.902,3.7744
2025-07-03,4.5,1.136,27.954,3.7755
2025-07-04,4.496,1.132,27.856,3.7733
2025-07-05,4.509,1.13,27.919,3.771
2025-07-06,4.518,1.125,28.046,3.7686
2025-07-07,4.518,1.128,27.973,3.7694
2025-07-08,4.506,1.132,28.156,3.7696
2025-07-09,4.525,1.137,28.143,3.7699
2025-07-10,4.526,1.14,28.062,3.7685
2025-07-11,4.522,1.139,27.919,3.7666
2025-07-12,4.49,1.143,27.844,3.7678
2025-07-13,4.489,1.149,27.728,3.7744
2025-07-14,4.471,1.138,27.743,3.7794
2025-07-15,4.453,1.132,27.647,3.778
2025-07-16,4.457,1.126,27.731,3.7785
2025-07-17,4.488,1.124,27.507,3.7805
2025-07-18,4.479,1.116,27.302,3.7872
2025-07-19,4.499,1.118,27.178,3.7851
2025-07-20,4.524,1.121,27.319,3.7829
2025-07-21,4.505,1.129,27.137,3.7863
2025-07-22,4.518,1.136,27.342,3.7852
2025-07-23,4.519,1.135,27.27,3.7839
2025-07-24,4.526,1.134,27.109,3.7843
2025-07-25,4.538,1.138,27.427,3.7827
2025-07-26,4.553,1.136,27.323,3.784
2025-07-27,4.549,1.134,27.358,3.7817
2025-07-28,4.565,1.132,27.386,3.785
2025-07-29,4.551,1.135,27.386,3.7846
2025-07-30,4.538,1.125,27.568,3.7819
2025-07-31,4.558,1.113,27.581,3.7839
2025-08-01,4.562,1.118,27.622,3.7853
2025-08-02,4.591,1.113,27.455,3.7867
2025-08-03,4.639,1.122,27.684,3.7841
