parada_id,equipo_id,fecha,hora_inicio_aprox,duracion_horas,tipo_parada,causa,costo_estimado_soles,planta
PAR-001963, PN-EQ-06,2024-09-17,17:00:00,4.1, preventiva,Mantenimiento programado (plan anual),8760.0,PN
PAR-002927, PN-EQ-09,2024-02-20,07:00:00,6.7,Preventiva ,Mantenimiento programado (plan anual),10190.0,PN
PAR-002138,PN_EQ_06,2026-07-28,13:00:00,7.3,CORRECTIVA,Falla eléctrica - motor/tablero,7659.0,PN
PAR-000854,PNEQ03,2026-01-02,11:00:00,6.8, correctiva,Atoro de mineral / obstrucción,9388.0,PN
PAR-000121, PN-EQ-01,2025-03-30,07:00:00,8.9,Correctiva,Atoro de mineral / obstrucción,14775.0,PN
PAR-000486,PNEQ02,2025-05-28,03:00:00,12.9,Correctiva ,Falla mecánica - desgaste de componente,11224.0,PN
PAR-003300,PN-EQ-10 ,2024-10-01,02:00:00,20.0,Correctiva,Falla eléctrica - motor/tablero,41685.0,PN
PAR-002929,PN-EQ-09 ,2024-03-03,08:00:00,10.4,CORRECTIVA,Rotura de faja/correa,19323.0,PN
PAR-000266,PN-EQ-01	,2027-01-03,00:00:00,7.5,Preventiva,Mantenimiento programado (plan anual),7291.0,PN
PAR-001853,PN_EQ_05,2027-08-27,09:00:00,13.1,CORRECTIVA,Rotura de faja/correa,28279.0,PN
PAR-001378,PN_EQ_04,2027-04-08,09:00:00,4.4,Preventiva,Mantenimiento programado (plan anual),8712.0,PN
PAR-000693,PNEQ02,2027-09-06,02:00:00,8.8,PREVENTIVA,Mantenimiento programado (plan anual),19357.0,PN
PAR-001539,PN-EQ-05 ,2024-10-04,13:00:00,4.4,Preventiva,Mantenimiento programado (plan anual),7303.0,PN
PAR-001187, PN-EQ-04,2025-07-20,01:00:00,19.2,Correctiva,Falla mecánica - desgaste de componente,31152.0,PN
PAR-002292, PN-EQ-07,2024-05-14,11:00:00,1.9,OPERATIVA,Corte de energía externo,442.0,PN
PAR-001464,PN_EQ_05,2024-01-10,01:00:00,20.0,Correctiva ,Falla eléctrica - motor/tablero,28856.0,PN
PAR-000234,PN-EQ-01,2026-07-13,06:00:00,10.1,Correctiva,,19426.0,PN
PAR-002003, PN-EQ-06,2025-02-20,13:00:00,1.6,Correctiva,Falla eléctrica - motor/tablero,1536.0,PN
PAR-001707,pn-eq-05,2026-04-26,01:00:00,20.0,CORRECTIVA,,38342.0,PN
PAR-002035,PN-EQ-06,2025-06-16,11:00:00,2.5,OPERATIVA,Corte de energía externo,1078.0,PN
PAR-001575,PNEQ05,2025-02-16,09:00:00,0.7,Correctiva,Atoro de mineral / obstrucción,1225.0,PN
PAR-002460,PN_EQ_07,2026-10-14,00:00:00,0.5,Operativa,Espera de insumos (reactivos/bolas de molienda),231.0,PN
PAR-000104,PNEQ01,2025-01-30,10:00:00,1.0,Correctiva,Rotura de faja/correa,961.0,PN
PAR-001345, PN-EQ-04,2026-12-14,06:00:00,1.3,Operativa,Corte de energía externo,365.0,PN
PAR-001915,PN_EQ_06,2024-03-17,00:00:00,6.1, correctiva,Falla mecánica - desgaste de componente,6952.0,PN
PAR-001691,PN_EQ_05,2026-03-17,00:00:00,8.6,CORRECTIVA,Falla mecánica - desgaste de componente,14967.0,PN
PAR-003591,PN-EQ-10	,2027-01-31,15:00:00,1.9,Operativa,Espera de insumos (reactivos/bolas de molienda),761.0,PN
PAR-002542,PN-EQ-07,2027-11-18,16:00:00,2.1,Operativa,Falta de mineral en cancha,850.0,PN
PAR-001184,PN-EQ-04 ,2025-07-03,03:00:00,5.8,CORRECTIVA,Falla mecánica - desgaste de componente,8571.0,PN
PAR-002376,PN-EQ-07	,2025-08-25,18:00:00,2.1, operativa,Falta de mineral en cancha,1026.0,PN
PAR-003176,PN-EQ-09	,2027-06-29,04:00:00,1.7,Operativa ,Condiciones climáticas adversas,485.0,PN
PAR-002082, PN-EQ-06,2026-01-13,15:00:00,4.0,Correctiva,Rotura de faja/correa,3350.0,PN
PAR-000810,PN_EQ_03,2025-05-01,18:00:00,2.7, operativa,Falta de mineral en cancha,,PN
PAR-002790,PNEQ08,2026-08-26,13:00:00,2.3,Correctiva ,Falla de lubricación,3306.0,PN
PAR-003397,PN-EQ-10 ,2025-07-11,04:00:00,16.9,Correctiva ,Atoro de mineral / obstrucción,15767.0,PN
PAR-000945,PN_EQ_03,2027-02-14,07:00:00,5.4,CORRECTIVA,Falla eléctrica - motor/tablero,7754.0,PN
PAR-001105,PN-EQ-04	,2024-11-22,00:00:00,20.0, correctiva,Falla eléctrica - motor/tablero,17640.0,PN
PAR-001717,PN-EQ-05 ,2026-05-27,12:00:00,2.3,Operativa ,Condiciones climáticas adversas,767.0,PN
PAR-002386,PN-EQ-07,2025-10-21,16:00:00,1.4,Operativa,Espera de insumos (reactivos/bolas de molienda),559.0,PN
PAR-001168,PN-EQ-04 ,2025-05-06,01:00:00,5.3,CORRECTIVA,Rotura de faja/correa,8351.0,PN
PAR-000596,PN_EQ_02,2026-07-29,14:00:00,0.7,Correctiva,,1160.0,PN
PAR-001623,PN-EQ-05	,2025-07-07,07:00:00,3.8,Correctiva,Rotura de faja/correa,5873.0,PN
PAR-001554,pn-eq-05,2024-11-14,14:00:00,8.9,Preventiva,Mantenimiento programado (plan anual),9746.0,PN
PAR-000928,PN-EQ-03	,2026-11-19,07:00:00,2.4,Operativa,,686.0,PN
PAR-001237,PNEQ04,2025-12-07,06:00:00,8.2,Correctiva,Falla eléctrica - motor/tablero,7320.0,PN
PAR-002393,PNEQ07,2025-12-14,12:00:00,1.3,Operativa,Condiciones climáticas adversas,577.0,PN
PAR-002752,PN_EQ_08,2026-04-06,02:00:00,0.5,Correctiva,,561.0,PN
PAR-000133,PN_EQ_01,2025-05-28,05:00:00,2.0,CORRECTIVA,Falla eléctrica - motor/tablero,2885.0,PN
PAR-001966,PN-EQ-06,2024-09-27,01:00:00,10.1,Correctiva,Falla eléctrica - motor/tablero,8541.0,PN
PAR-000812,PN-EQ-03	,2025-05-09,18:00:00,3.1,CORRECTIVA,,6270.0,PN
PAR-000295,PN_EQ_01,2027-05-16,04:00:00,10.3, correctiva,Falla mecánica - desgaste de componente,14908.0,PN
PAR-003183,PN-EQ-09 ,2027-07-21,02:00:00,2.5, operativa,Espera de insumos (reactivos/bolas de molienda),1445.0,PN
PAR-000883,PN-EQ-03 ,2026-05-18,09:00:00,7.8,Preventiva,Mantenimiento programado (plan anual),10539.0,PN
PAR-002100,PNEQ06,2026-03-17,14:00:00,5.5,Correctiva,Falla eléctrica - motor/tablero,5545.0,PN
PAR-001994,PNEQ06,2025-01-02,09:00:00,2.8,OPERATIVA,Falta de mineral en cancha,642.0,PN
PAR-002307,pn-eq-07,2024-07-26,07:00:00,1.3,OPERATIVA,Condiciones climáticas adversas,654.0,PN
PAR-002592,PN-EQ-08,2024-07-13,01:00:00,20.0,Correctiva,Atoro de mineral / obstrucción,30644.0,PN
PAR-000754,PN-EQ-03 ,2024-06-23,05:00:00,10.3,Correctiva,Falla mecánica - desgaste de componente,22354.0,PN
PAR-002905,PN_EQ_08,2027-12-01,06:00:00,1.0,Operativa ,Espera de insumos (reactivos/bolas de molienda),321.0,PN
PAR-002687,PN-EQ-08	,2025-08-18,09:00:00,1.8,Correctiva,Falla eléctrica - motor/tablero,3323.0,PN
PAR-000084, PN-EQ-01,2024-12-01,14:00:00,8.8,Preventiva,Mantenimiento programado (plan anual),15651.0,PN
PAR-003556,pn-eq-10,2026-10-20,15:00:00,4.1,Correctiva,Atoro de mineral / obstrucción,6009.0,PN
PAR-000926,pn-eq-03,2026-11-16,03:00:00,6.0,Preventiva,Mantenimiento programado (plan anual),9080.0,PN
PAR-000338,PN-EQ-01,2027-10-21,17:00:00,2.7,Operativa,Condiciones climáticas adversas,1377.0,PN
PAR-003516,PN_EQ_10,2026-06-16,04:00:00,4.2,Correctiva,Falla mecánica - desgaste de componente,7350.0,PN
PAR-003411,PN_EQ_10,2025-08-26,04:00:00,6.7,PREVENTIVA,Mantenimiento programado (plan anual),10172.0,PN
PAR-002208,PNEQ06,2027-04-10,01:00:00,7.3,Preventiva,Mantenimiento programado (plan anual),8707.0,PN
PAR-003431,PN-EQ-10,2025-11-09,01:00:00,17.5,Correctiva ,Rotura de faja/correa,25717.0,PN
PAR-002182,PN-EQ-06	,2026-12-22,02:00:00,6.5,Preventiva ,Mantenimiento programado (plan anual),9247.0,PN
PAR-002104,pn-eq-06,2026-03-28,12:00:00,0.5,Correctiva ,Atoro de mineral / obstrucción,949.0,PN
PAR-001602,PN-EQ-05 ,2025-05-03,09:00:00,0.9,Operativa,Falta de mineral en cancha,376.0,PN
PAR-001460,PN-EQ-04,2027-12-20,06:00:00,1.1,Operativa ,Condiciones climáticas adversas,473.0,PN
PAR-000610, PN-EQ-02,2026-10-04,10:00:00,7.5, preventiva,Mantenimiento programado (plan anual),14417.0,PN
PAR-001365,PN-EQ-04,2027-02-15,03:00:00,7.8,Correctiva,Atoro de mineral / obstrucción,6588.0,PN
PAR-003629,PN-EQ-10,2027-06-26,03:00:00,18.5,Correctiva,Falla eléctrica - motor/tablero,31039.0,PN
PAR-003655,PNEQ10,2027-09-10,17:00:00,2.7,Operativa,Falta de mineral en cancha,,PN
PAR-000179,PN-EQ-01	,2025-12-05,19:00:00,3.6,Correctiva ,Falla mecánica - desgaste de componente,3987.0,PN
PAR-000923,PN_EQ_03,2026-11-02,11:00:00,5.6, preventiva,Mantenimiento programado (plan anual),6874.0,PN
PAR-001987,PN-EQ-06	,2024-12-18,01:00:00,0.7,Operativa,Corte de energía externo,284.0,PN
PAR-003142,PN-EQ-09,2027-01-26,15:00:00,6.2,Correctiva,Rotura de faja/correa,8351.0,PN
PAR-001482,PN-EQ-05,2024-02-26,09:00:00,0.5,Correctiva,Rotura de faja/correa,426.0,PN
PAR-000606,PNEQ02,2026-09-12,11:00:00,3.3,CORRECTIVA,Falla eléctrica - motor/tablero,5812.0,PN
PAR-003144,PN-EQ-09 ,2027-02-09,12:00:00,7.0,Correctiva,Falla mecánica - desgaste de componente,10968.0,PN
PAR-000684,PN-EQ-02	,2027-07-29,11:00:00,8.9,Preventiva ,Mantenimiento programado (plan anual),10442.0,PN
PAR-002636,PN_EQ_08,2025-01-19,09:00:00,8.6,PREVENTIVA,Mantenimiento programado (plan anual),16790.0,PN
PAR-000691,PN-EQ-02 ,2027-08-19,05:00:00,1.8,Operativa,Falta de mineral en cancha,695.0,PN
PAR-001607, PN-EQ-05,2025-05-20,04:00:00,8.4,Correctiva,Falla de lubricación,7491.0,PN
PAR-000292,PN-EQ-01 ,2027-05-11,06:00:00,3.7,CORRECTIVA,Falla eléctrica - motor/tablero,7590.0,PN
PAR-002824,PN-EQ-08 ,2027-01-12,11:00:00,5.3,PREVENTIVA,Mantenimiento programado (plan anual),11368.0,PN
PAR-002730,pn-eq-08,2026-01-27,15:00:00,1.4,Operativa,Condiciones climáticas adversas,656.0,PN
PAR-003590,pn-eq-10,2027-01-31,03:00:00,8.9,Preventiva,Mantenimiento programado (plan anual),15062.0,PN
PAR-002518, PN-EQ-07,2027-07-30,03:00:00,2.4,Operativa ,Falta de mineral en cancha,982.0,PN
PAR-002894,PNEQ08,2027-11-04,10:00:00,2.4,CORRECTIVA,Falla de lubricación,3345.0,PN
PAR-000893,PN-EQ-03 ,2026-06-22,07:00:00,4.9, preventiva,,6890.0,PN
PAR-002093,PN-EQ-06	,2026-02-23,04:00:00,10.9,Correctiva,Falla de lubricación,14551.0,PN
PAR-001082,PN-EQ-04	,2024-09-21,08:00:00,4.5,Correctiva,Atoro de mineral / obstrucción,7084.0,PN
PAR-001908,PNEQ06,2024-02-21,17:00:00,1.7,Correctiva,Falla eléctrica - motor/tablero,1601.0,PN
PAR-003489, PN-EQ-10,2026-04-04,00:00:00,5.7,Correctiva ,Atoro de mineral / obstrucción,7470.0,PN
PAR-002411,PNEQ07,2026-03-09,16:00:00,6.2,CORRECTIVA,Falla de lubricación,5130.0,PN
PAR-000495,PN_EQ_02,2025-07-03,04:00:00,8.4,PREVENTIVA,Mantenimiento programado (plan anual),18407.0,PN
PAR-000697,pn-eq-02,2027-09-25,06:00:00,12.9,CORRECTIVA,Rotura de faja/correa,27667.0,PN
PAR-001398,pn-eq-04,2027-06-10,06:00:00,6.9,Correctiva ,Rotura de faja/correa,8291.0,PN
PAR-003653,PN-EQ-10 ,2027-09-07,01:00:00,10.2,Correctiva,Falla eléctrica - motor/tablero,16023.0,PN
PAR-002872, PN-EQ-08,2027-08-09,21:00:00,1.2,CORRECTIVA,Rotura de faja/correa,1974.0,PN
PAR-002270,pn-eq-07,2024-01-14,03:00:00,5.4,Preventiva ,Mantenimiento programado (plan anual),5221.0,PN
PAR-000175,PNEQ01,2025-11-16,03:00:00,20.0,CORRECTIVA,Rotura de faja/correa,28635.0,PN
PAR-003024, PN-EQ-09,2025-06-09,02:00:00,0.8,Operativa ,Condiciones climáticas adversas,336.0,PN
PAR-003315,PN-EQ-10 ,2024-11-15,06:00:00,1.1, operativa,Espera de insumos (reactivos/bolas de molienda),304.0,PN
PAR-003240,pn-eq-10,2024-04-09,00:00:00,20.0, correctiva,Falla mecánica - desgaste de componente,29440.0,PN
PAR-000664,pn-eq-02,2027-03-30,10:00:00,8.8, preventiva,Mantenimiento programado (plan anual),15763.0,PN
PAR-002724,pn-eq-08,2025-12-31,12:00:00,2.8,OPERATIVA,Espera de insumos (reactivos/bolas de molienda),1108.0,PN
PAR-000376, PN-EQ-02,2024-04-13,07:00:00,7.8,PREVENTIVA,Mantenimiento programado (plan anual),8593.0,PN
PAR-002387,PNEQ07,2025-10-31,10:00:00,5.4,Preventiva,Mantenimiento programado (plan anual),4557.0,PN
PAR-002204,PN-EQ-06 ,2027-03-28,18:00:00,2.8,Operativa,Falta de mineral en cancha,1309.0,PN
PAR-002823, PN-EQ-08,2027-01-11,12:00:00,5.2,CORRECTIVA,Falla de lubricación,5816.0,PN
PAR-001144,pn-eq-04,2025-03-07,17:00:00,0.7,Correctiva ,Falla de lubricación,1430.0,PN
PAR-000706,PN_EQ_02,2027-10-29,17:00:00,1.1,Correctiva,Falla eléctrica - motor/tablero,2262.0,PN
PAR-000013,PN_EQ_01,2024-03-10,08:00:00,5.7,Correctiva,Atoro de mineral / obstrucción,5102.0,PN
PAR-001379,PN-EQ-04,2027-04-11,00:00:00,13.5, correctiva,Falla mecánica - desgaste de componente,26035.0,PN
PAR-002868,PN-EQ-08	,2027-08-04,15:00:00,4.1,Preventiva ,Mantenimiento programado (plan anual),5782.0,PN
PAR-000582,PN-EQ-02,2026-06-12,09:00:00,1.2,CORRECTIVA,,1274.0,PN
PAR-001078,PN-EQ-04	,2024-09-08,08:00:00,2.8,Correctiva ,Falla eléctrica - motor/tablero,2857.0,PN
PAR-003220,PN-EQ-10	,2024-01-25,09:00:00,11.0,Correctiva,Falla mecánica - desgaste de componente,20765.0,PN
PAR-003614,PN-EQ-10 ,2027-05-03,09:00:00,4.9,PREVENTIVA,Mantenimiento programado (plan anual),10034.0,PN
PAR-000047,PN-EQ-01,2024-07-08,10:00:00,8.0,Preventiva ,Mantenimiento programado (plan anual),8409.0,PN
PAR-003492,PN-EQ-10	,2026-04-17,17:00:00,5.0, correctiva,Falla mecánica - desgaste de componente,6883.0,PN
PAR-003438,PN_EQ_10,2025-11-25,13:00:00,4.0,Correctiva,Falla eléctrica - motor/tablero,7257.0,PN
PAR-001195,PNEQ04,2025-08-10,20:00:00,1.9, operativa,Falta de mineral en cancha,574.0,PN
PAR-001949, PN-EQ-06,2024-07-30,04:00:00,13.4,CORRECTIVA,Falla mecánica - desgaste de componente,24716.0,PN
PAR-003588,PN-EQ-10	,2027-01-18,13:00:00,2.4,Operativa,Corte de energía externo,975.0,PN
PAR-003405,PN-EQ-10 ,2025-08-03,06:00:00,11.2, correctiva,Atoro de mineral / obstrucción,16582.0,PN
PAR-003595,pn-eq-10,2027-02-22,01:00:00,8.8,Correctiva,Atoro de mineral / obstrucción,11232.0,PN
PAR-002701,PN-EQ-08 ,2025-10-01,03:00:00,2.6, operativa,Espera de insumos (reactivos/bolas de molienda),1310.0,PN
PAR-002137, PN-EQ-06,2026-07-21,09:00:00,3.0,Operativa,Espera de insumos (reactivos/bolas de molienda),1525.0,PN
PAR-001466,PN-EQ-05 ,2024-01-14,03:00:00,20.0, correctiva,Falla eléctrica - motor/tablero,22284.0,PN
PAR-000498, PN-EQ-02,2025-07-18,11:00:00,4.1, preventiva,,5992.0,PN
PAR-002384, PN-EQ-07,2025-10-17,00:00:00,7.7,Preventiva,Mantenimiento programado (plan anual),13191.0,PN
PAR-000808,PN-EQ-03,2025-04-28,00:00:00,6.0,Preventiva,Mantenimiento programado (plan anual),7038.0,PN
PAR-000003,PN-EQ-01 ,2024-01-19,05:00:00,3.9, correctiva,Falla eléctrica - motor/tablero,8025.0,PN
PAR-000488, PN-EQ-02,2025-06-05,06:00:00,1.7,Operativa,Corte de energía externo,960.0,PN
PAR-002451,PN-EQ-07	,2026-09-04,09:00:00,2.6,Operativa,Corte de energía externo,1001.0,PN
PAR-000077,pn-eq-01,2024-11-05,16:00:00,2.6,Operativa ,Condiciones climáticas adversas,1138.0,PN
PAR-003450,PN-EQ-10,2025-12-29,18:00:00,1.2,OPERATIVA,Espera de insumos (reactivos/bolas de molienda),571.0,PN
PAR-000603,PN-EQ-02,2026-08-30,05:00:00,4.9,PREVENTIVA,Mantenimiento programado (plan anual),9891.0,PN
PAR-001261,PN_EQ_04,2026-02-22,05:00:00,4.6,Correctiva,Falla eléctrica - motor/tablero,3766.0,PN
PAR-002766,PN_EQ_08,2026-05-29,00:00:00,2.1,Operativa,Falta de mineral en cancha,1046.0,PN
PAR-002135,PNEQ06,2026-07-11,05:00:00,9.6,CORRECTIVA,Rotura de faja/correa,16793.0,PN
PAR-002466, PN-EQ-07,2026-11-15,10:00:00,0.5,Correctiva ,Rotura de faja/correa,680.0,PN
PAR-002381,PN-EQ-07 ,2025-09-28,12:00:00,3.4,Correctiva ,Falla mecánica - desgaste de componente,3316.0,PN
PAR-000929,PN-EQ-03,2026-11-28,19:00:00,0.5,Correctiva,Atoro de mineral / obstrucción,942.0,PN
PAR-003640,PN-EQ-10,2027-07-22,01:00:00,18.1, correctiva,Falla de lubricación,36092.0,PN
PAR-002618,pn-eq-08,2024-11-01,02:00:00,7.4,Preventiva ,Mantenimiento programado (plan anual),9638.0,PN
PAR-003598,PNEQ10,2027-03-09,02:00:00,20.0,CORRECTIVA,Falla de lubricación,38936.0,PN
PAR-002954, PN-EQ-09,2024-06-09,09:00:00,0.5,Correctiva ,Falla eléctrica - motor/tablero,750.0,PN
PAR-000289,PNEQ01,2027-04-16,00:00:00,1.4,OPERATIVA,Corte de energía externo,683.0,PN
PAR-003115,PN_EQ_09,2026-10-03,04:00:00,1.0, operativa,Falta de mineral en cancha,522.0,PN
PAR-001888,PNEQ05,2027-11-13,14:00:00,5.2,CORRECTIVA,Falla de lubricaciÃ³n,4228.0,PN
PAR-000753,pn-eq-03,2024-06-13,12:00:00,2.3,Operativa,Condiciones climáticas adversas,675.0,PN
PAR-001695, PN-EQ-05,2026-03-26,14:00:00,6.1,CORRECTIVA,Falla mecánica - desgaste de componente,8893.0,PN
PAR-000796,PNEQ03,2025-02-20,07:00:00,6.6,PREVENTIVA,Mantenimiento programado (plan anual),14027.0,PN
PAR-003552,PN_EQ_10,2026-10-06,04:00:00,8.1,Preventiva,Mantenimiento programado (plan anual),17430.0,PN
PAR-002347,PN-EQ-07,2025-02-27,00:00:00,6.7,Preventiva ,Mantenimiento programado (plan anual),8336.0,PN
PAR-000730,pn-eq-03,2024-02-20,16:00:00,2.8,Operativa,Condiciones climáticas adversas,1104.0,PN
PAR-003400, PN-EQ-10,2025-07-22,06:00:00,1.6,OPERATIVA,Espera de insumos (reactivos/bolas de molienda),476.0,PN
PAR-001191,PNEQ04,2025-07-30,16:00:00,3.8,CORRECTIVA,Atoro de mineral / obstrucción,,PN
PAR-002263,pn-eq-06,2027-11-30,07:00:00,13.8,Correctiva,Falla eléctrica - motor/tablero,17791.0,PN
PAR-000843, PN-EQ-03,2025-11-10,15:00:00,2.9, correctiva,Falla eléctrica - motor/tablero,4820.0,PN
PAR-002321,PN_EQ_07,2024-10-22,19:00:00,2.1,Operativa ,Condiciones climáticas adversas,826.0,PN
PAR-003243,PN-EQ-10	,2024-04-18,07:00:00,8.0,Preventiva,Mantenimiento programado (plan anual),12792.0,PN
PAR-001066,pn-eq-04,2024-07-18,00:00:00,8.1, correctiva,Atoro de mineral / obstrucción,16543.0,PN
PAR-003100,pn-eq-09,2026-07-18,04:00:00,9.8, correctiva,Falla eléctrica - motor/tablero,13901.0,PN
PAR-002201,PN_EQ_06,2027-03-10,15:00:00,0.5, correctiva,Falla de lubricación,911.0,PN
PAR-002014,PN-EQ-06	,2025-04-10,03:00:00,4.0,Correctiva,Falla eléctrica - motor/tablero,3870.0,PN
PAR-002957,PN_EQ_09,2024-07-04,03:00:00,0.9,Operativa ,Espera de insumos (reactivos/bolas de molienda),402.0,PN
PAR-001388,pn-eq-04,2027-05-12,06:00:00,8.8,CORRECTIVA,Falla eléctrica - motor/tablero,16076.0,PN
PAR-000348, PN-EQ-01,2027-12-01,05:00:00,3.9,Correctiva,Atoro de mineral / obstrucción,5813.0,PN
PAR-002855, PN-EQ-08,2027-06-12,01:00:00,4.3,Preventiva ,Mantenimiento programado (plan anual),9134.0,PN
PAR-001024, PN-EQ-04,2024-02-20,03:00:00,13.2, correctiva,Atoro de mineral / obstrucción,26585.0,PN
PAR-002890,PN_EQ_08,2027-10-19,04:00:00,2.4,OPERATIVA,Falta de mineral en cancha,692.0,PN
PAR-003270,PN-EQ-10 ,2024-07-12,12:00:00,1.0,Correctiva,Falla mecánica - desgaste de componente,1367.0,PN
PAR-001128,pn-eq-04,2025-02-09,04:00:00,18.3,Correctiva,Atoro de mineral / obstrucción,37815.0,PN
PAR-001278,PNEQ04,2026-04-28,14:00:00,0.7,Operativa ,Condiciones climáticas adversas,180.0,PN
PAR-003282,PN_EQ_10,2024-08-11,02:00:00,4.2,Correctiva,Falla de lubricación,3366.0,PN
PAR-000290,PN-EQ-01	,2027-05-01,05:00:00,6.1,PREVENTIVA,Mantenimiento programado (plan anual),11888.0,PN
PAR-000086,PN-EQ-01 ,2024-12-10,20:00:00,0.7,OPERATIVA,Corte de energía externo,181.0,PN
PAR-003112,PN-EQ-09	,2026-09-24,03:00:00,1.3, operativa,Espera de insumos (reactivos/bolas de molienda),417.0,PN
PAR-002916, PN-EQ-09,2024-01-06,05:00:00,1.0,Operativa,Corte de energía externo,359.0,PN
PAR-001474,PNEQ05,2024-02-03,05:00:00,1.2,Operativa ,Condiciones climáticas adversas,288.0,PN
PAR-000413,PN_EQ_02,2024-08-24,00:00:00,20.0,Correctiva,Falla eléctrica - motor/tablero,35583.0,PN
PAR-002132,PN_EQ_06,2026-07-06,02:00:00,16.7, correctiva,Falla de lubricación,33291.0,PN
PAR-002101, PN-EQ-06,2026-03-19,01:00:00,11.2,Correctiva,Falla mecánica - desgaste de componente,11929.0,PN
PAR-002656,PN-EQ-08 ,2025-04-20,13:00:00,3.0,Operativa,Falta de mineral en cancha,1729.0,PN
PAR-002900,PN_EQ_08,2027-11-22,12:00:00,3.0,Correctiva ,Falla mecánica - desgaste de componente,3468.0,PN
PAR-003646,PN-EQ-10,2027-08-10,10:00:00,7.7,Preventiva ,Mantenimiento programado (plan anual),8869.0,PN
PAR-000663,pn-eq-02,2027-03-29,18:00:00,0.5,Correctiva ,Atoro de mineral / obstrucción,761.0,PN
PAR-003045,PNEQ09,2025-09-11,11:00:00,7.3,Preventiva,Mantenimiento programado (plan anual),9086.0,PN
PAR-003285,PN-EQ-10 ,2024-08-18,05:00:00,0.6,Operativa ,Falta de mineral en cancha,265.0,PN
PAR-000127,PN-EQ-01 ,2025-05-01,06:00:00,13.2,Correctiva ,Falla mecánica - desgaste de componente,22604.0,PN
PAR-003423, PN-EQ-10,2025-10-18,07:00:00,15.9,Correctiva,Falla elÃ©ctrica - motor/tablero,20131.0,PN
PAR-003457,pn-eq-10,2026-01-15,00:00:00,9.1, correctiva,Atoro de mineral / obstrucción,17652.0,PN
PAR-000807,PN-EQ-03,2025-04-20,02:00:00,0.6,Correctiva,Rotura de faja/correa,812.0,PN
PAR-003402, PN-EQ-10,2025-07-24,21:00:00,2.0, operativa,Condiciones climáticas adversas,858.0,PN
